"F [MHz]","mag(Z(Port1,Port1)) [mOhm]","mag(Z(Port2,Port2)) [mOhm]"
0.001,0.785969461532927,0.790071242320796
0.00100767911871528,0.785967610685554,0.790069377290928
0.00101541720629481,0.785965741964034,0.790067493796199
0.00102321471556749,0.785963854531338,0.790065591013344
0.00103107210283956,0.78596191704016,0.790063638667684
0.00103898982792128,0.785959960830357,0.790061666990158
0.00104696835415386,0.785957984368976,0.790059674472379
0.00105500814843655,0.785955956177725,0.790057630719493
0.00106310968125399,0.785953908396161,0.790055566726753
0.0010712734267037,0.785951838710163,0.790053480247395
0.00107949986252389,0.785949715574423,0.790051340812599
0.00108778947012134,0.785947571935317,0.790049180192614
0.00109614273459964,0.785945404626525,0.790046995324164
0.00110456014478753,0.785943182113906,0.790044755731998
0.00111304219326752,0.785940938122246,0.790042493961379
0.00112158937640474,0.785938668601076,0.790040206068605
0.00113020219437596,0.785936342055866,0.790037861635972
0.00113888115119884,0.78593399303601,0.79003549398733
0.0011476267547615,0.785931616479022,0.790033098213323
0.00115643951685215,0.785929181036586,0.790030644035536
0.0011653199531891,0.785926722064956,0.79002816555998
0.00117426858345093,0.78592423342926,0.790025656826417
0.00118328593130688,0.785921684005579,0.790023087770361
0.00119237252444751,0.785919109949939,0.790020493276454
0.00120152889461558,0.785916503955635,0.790017866262562
0.00121075557763718,0.785913835211988,0.790015176959871
0.00122005311345305,0.785911140681912,0.790012461028126
0.0012294220461502,0.785908411812302,0.790009710163864
0.00123886292399378,0.785905618173241,0.7900068949899
0.00124837629945909,0.785902797545209,0.790004051937551
0.00125796272926398,0.785899939997281,0.790001171393256
0.0012676227744014,0.785897015629544,0.789998224467414
0.00127735700017223,0.78589406300453,0.789995248352283
0.00128716597621835,0.785891070728272,0.789992232024778
0.001297050276556,0.785888009512594,0.789989147178834
0.00130701047960937,0.78588491872697,0.789986031781894
0.00131704716824441,0.785881785379427,0.789982873277052
0.00132716092980299,0.785878580921447,0.789979644073267
0.00133735235613723,0.785875345511703,0.789976382884769
0.00134762204364417,0.785872064446572,0.789973075507204
0.00135797059330065,0.785868710062882,0.789969695192487
0.00136839861069847,0.78586532326944,0.789966281401664
0.00137890670607985,0.78586188753734,0.789962818140884
0.00138949549437314,0.785858376213118,0.789959279661372
0.00140016559522878,0.785854830966398,0.78995570613549
0.0014109176330556,0.78585123328672,0.789952079662724
0.00142175223705732,0.785847557693781,0.789948375621533
0.0014326700412694,0.785843846586063,0.789944634895633
0.00144367168459614,0.785840079333057,0.789940837528697
0.00145475781084805,0.785836231798168,0.789936960193431
0.00146592906877954,0.785832347087447,0.789933044456517
0.00147718611212688,0.785828402283416,0.789929068156679
0.00148852959964647,0.785824374774399,0.78992500943143
0.00149996019515337,0.785820308352719,0.78992091051269
0.00151147856756015,0.785816177650577,0.789916746860235
0.00152308539091605,0.785811961762416,0.789912498271811
0.00153478134444641,0.78580770513844,0.789908207609086
0.00154656711259242,0.785803379786514,0.789903847793108
0.00155844338505117,0.785798966723933,0.789899400484387
0.00157041085681602,0.785794511023279,0.78989490912109
0.00158247022821729,0.785789981865657,0.789890343922204
0.00159462220496317,0.785785362425708,0.789885688606431
0.00160686749818111,0.78578069835223,0.789880987181369
0.00161920682445937,0.785775955804259,0.789876206933129
0.00163164090588899,0.785771120355369,0.789871333901521
0.00164417047010603,0.785766238184426,0.789866412603227
0.00165679625033413,0.785761272211771,0.78986140720685
0.00166951898542749,0.785756210672819,0.789856306293595
0.001682339419914,0.785751100219689,0.789851154860855
0.00169525830403893,0.785745900331627,0.789845913732475
0.00170827639380871,0.785740602147471,0.789840574308178
0.00172139445103528,0.78573525276776,0.789835181998614
0.00173461324338061,0.785729807957196,0.789829694059187
0.00174793354440164,0.785724262095545,0.789824104992359
0.00176135613359552,0.785718662635874,0.789818460572357
0.0017748817964453,0.785712961404649,0.789812714223383
0.0017885113244658,0.785707156303208,0.789806863870386
0.00180224551525,0.785701295112322,0.789800955576616
0.00181608517251569,0.78569532540771,0.789794938679443
0.0018300311061525,0.785689248978193,0.789788814856691
0.00184408413226931,0.785683113839919,0.789782630378985
0.00185824507324198,0.785676863055105,0.789776330234132
0.00187251475776149,0.785670502658849,0.789769920193878
0.00188689402088247,0.78566408079969,0.789763446651021
0.00190138370407198,0.785657535735183,0.78975684996333
0.00191598465525886,0.785650878130353,0.789750140351714
0.00193069772888325,0.785644156191573,0.789743364277926
0.00194552378594667,0.785637303030853,0.789736457118184
0.00196046369406237,0.785630334365862,0.789729433979501
0.00197551832750607,0.785623298361387,0.789722341271869
0.00199068856726721,0.785616122646576,0.789715109073989
0.00200597530110041,0.785608828432211,0.789707757794589
0.00202137942357749,0.785601463727864,0.78970033369606
0.00203690183613977,0.78559395032476,0.78969276121877
0.00205254344715087,0.785586315395669,0.789685066517179
0.00206830517194982,0.78557860668488,0.789677295596032
0.00208418793290466,0.785570739755128,0.789669366873937
0.00210019265946639,0.78556274824555,0.789661312751929
0.0021163202882234,0.785554679510878,0.789653178852857
0.00213257176295623,0.785546442466394,0.789644877183067
0.00214894803469284,0.785538077782357,0.78963644690875
0.00216545006176422,0.785529632267702,0.789627933132408
0.00218207880986053,0.785521007767763,0.78961924103633
0.00219883525208755,0.785512252537997,0.789610417105948
0.00221572036902368,0.785503412706622,0.789601505770765
0.00223273514877728,0.78549438258748,0.789592404952383
0.00224988058704453,0.785485218646329,0.78958316904861
0.00226715768716766,0.785475966153126,0.789573841656199
0.00228456746019369,0.78546651141805,0.789564312971049
0.00230211092493359,0.785456919756439,0.78955464592842
0.0023197891080219,0.785447235406012,0.789544883129031
0.00233760304397683,0.785437336169173,0.789534906542563
0.00235555377526073,0.785427296903373,0.789524788316509
0.00237364235234119,0.785417160622364,0.789514569863855
0.00239186983375245,0.785406796074065,0.789504124409834
0.00241023728615734,0.78539628840383,0.789493534031544
0.00242874578440974,0.785385679188406,0.789482838741234
0.00244739641161747,0.785374827553246,0.789471902487296
0.00246619025920564,0.785363829716426,0.789460818011516
0.00248512842698056,0.785352725597563,0.789449623733741
0.00250421202319407,0.785341364092629,0.78943817372212
0.00252344216460841,0.785329853330483,0.789426572203425
0.0025428199765616,0.785318231328631,0.789414855763715
0.00256234659303321,0.785306336114624,0.789402867973339
0.00258202315671081,0.78529428860874,0.789390725410479
0.0026018508190568,0.785282124688517,0.789378462564721
0.0026218307403758,0.785269670820911,0.789365911866252
0.00264196408988253,0.785257061676352,0.789353203150096
0.00266225204577025,0.785244330683517,0.789340368543155
0.00268269579527973,0.785231292070867,0.789327228646972
0.00270329653476867,0.785218095235403,0.789313927512064
0.00272405546978177,0.785204770880049,0.789300494625799
0.00274497381512125,0.785191120213909,0.78928673801938
0.00276605279491791,0.785177308454137,0.789272817006198
0.00278729364270282,0.785163363222871,0.789258758093319
0.00280869760147949,0.785149071943289,0.789244356010653
0.00283026592379659,0.785134616767498,0.789229786388852
0.00285199987182124,0.785120021899614,0.78921507244947
0.00287390071741293,0.785105060132239,0.78919999478368
0.00289596974219789,0.785089931738188,0.789184746510913
0.00291820823764409,0.785074657152138,0.789169347201644
0.00294061750513688,0.785058993638271,0.789153562463857
0.00296319885605507,0.785043160871672,0.789137604130452
0.00298595361184771,0.785027175109353,0.789121487723316
